Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (*),CH2/CH1,corrCH1,corrCH2,CH2/CH1,log,DIBUJETI
1,0.01592151,0.182663883,119.1469155,11.47277413,1.59215E-05,1.82664E-05,1.147277413,21.19336887,21.19336887
1.084365969,0.016884033,0.2027603,116.9076969,12.00899683,1.6884E-05,2.0276E-05,1.200899683,21.59013461,21.59013461
1.175849554,0.017917492,0.223245448,114.6335051,12.45963692,1.79175E-05,2.23245E-05,1.245963692,21.91010774,21.91010774
1.275051241,0.019092772,0.246693473,112.8782151,12.92077819,1.90928E-05,2.46693E-05,1.292077819,22.22577342,21.91010774
1.382622174,0.02035032,0.270121756,110.8908824,13.27358748,2.03503E-05,2.70122E-05,1.327358748,22.45976633,22.5781
1.499268433,0.0217521,0.296374783,109.0451056,13.62511142,2.17521E-05,2.96375E-05,1.362511142,22.68680125,22.67690469
1.625755666,0.023237111,0.324764379,107.0680727,13.97610844,2.32371E-05,3.24764E-05,1.397610844,22.90772523,23.10144403
1.762914118,0.024862483,0.354515589,105.3771697,14.25905785,2.48625E-05,3.54516E-05,1.425905785,23.08181662,23.44381528
1.911644075,0.02662622,0.387239876,103.796785,14.54355449,2.66262E-05,3.8724E-05,1.454355449,23.25341125,23.78157756
2.07292178,0.028529393,0.421830435,102.2039373,14.78581876,2.85294E-05,4.2183E-05,1.478581876,23.39690757,24.03194997
2.247805834,0.030586415,0.45983339,100.6024168,15.0339092,3.05864E-05,4.59833E-05,1.50339092,23.54143846,24.27487734
2.43744415,0.032809608,0.50036064,99.08636589,15.25043007,3.28096E-05,5.00361E-05,1.525043007,23.66564182,24.511266
2.643081487,0.035134335,0.544440599,97.63455166,15.49596978,3.51343E-05,5.44441E-05,1.549596978,23.80437522,24.69754379
2.866067617,0.037683755,0.591659869,96.2598829,15.7006613,3.76838E-05,5.9166E-05,1.57006613,23.9183589,24.88115004
3.107866188,0.040365548,0.64260704,94.95813942,15.91969072,4.03655E-05,6.42607E-05,1.591969072,24.03869252,25.0346911
3.370064329,0.04319845,0.698150369,93.62434553,16.16146796,4.31985E-05,6.9815E-05,1.616146796,24.16961611,25.18933915
3.654383071,0.046219886,0.756697854,92.39740217,16.37169433,4.62199E-05,7.56698E-05,1.637169433,24.28187255,25.32223675
3.962688639,0.049369071,0.820883302,91.08175282,16.62748116,4.93691E-05,8.20883E-05,1.662748116,24.41652929,25.47068148
4.297004704,0.052643411,0.89056775,89.83260362,16.9169843,5.26434E-05,8.90568E-05,1.69169843,24.56645893,25.59264402
4.659525669,0.056052149,0.965141498,88.5824514,17.21863514,5.60521E-05,9.65141E-05,1.721863514,24.71997447,25.721401
5.052631065,0.05958618,1.044734187,87.32995306,17.53316278,5.95862E-05,0.000104473,1.753316278,24.8772053,25.86148924
5.47890118,0.063168055,1.131550651,86.06995832,17.91333684,6.31681E-05,0.000113155,1.791333684,25.06352985,25.98160363
5.941133985,0.06686531,1.22324251,84.83671374,18.29412763,6.68653E-05,0.000122324,1.829412763,25.24623409,26.12568634
6.442363509,0.070558356,1.323455249,83.50706708,18.75688908,7.05584E-05,0.000132346,1.875688908,25.4632162,26.28611105
