Frequency (Hz),Trace |Z| (Ohm),corregido
10,103141.6107,113141.6107
10.59560179,100615.8157,110615.8157
11.22667774,98322.27767,108322.2777
11.89534067,96248.05289,106248.0529
12.6038293,94324.90782,104324.9078
13.35451563,92547.40146,102547.4015
14.14991297,90978.47577,100978.4758
14.99268433,89513.19809,99513.19809
15.88565129,88213.21013,98213.21013
16.83180353,86995.69487,96995.69487
17.83430877,85928.49399,95928.49399
18.8965234,84938.30576,94938.30576
20.02200372,84060.02461,94060.02461
21.21451785,83255.91158,93255.91158
22.47805834,82533.2264,92533.2264
23.81685552,81888.05337,91888.05337
25.2353917,81306.56634,91306.56634
26.73841616,80784.23613,90784.23613
28.33096102,80300.38044,90300.38044
30.01835814,79880.8499,89880.8499
31.80625693,79483.66037,89483.66037
33.70064329,79141.07842,89141.07842
35.70785965,78831.77113,88831.77113
37.83462617,78550.91126,88550.91126
40.08806329,78306.98932,88306.98932
42.47571553,78048.80811,88048.80811
45.00557676,78033.04966,88033.04966
47.68611698,77882.62267,87882.62267
50.52631065,77722.91937,87722.91937
53.53566677,77584.78722,87584.78722
56.72426068,77139.98567,87139.98567
60.10276782,77209.19613,87209.19613
63.68249945,77032.32611,87032.32611
67.47544053,76940.90079,86940.90079
71.49428987,76868.64276,86868.64276
75.75250259,76802.873,86802.873
80.26433522,76733.22885,86733.22885
85.04489342,76657.33957,86657.33957
90.11018252,76614.49275,86614.49275
95.47716114,76515.03015,86515.03015
101.163798,76548.06464,86548.06464
107.1891319,76397.67854,86397.67854
113.5733358,76448.43216,86448.43216
120.3377841,76397.49882,86397.49882
127.5051241,76357.96736,86357.96736
135.0993521,76337.69319,86337.69319
143.1458938,76305.17215,86305.17215
151.6716888,76283.76201,86283.76201
160.7052818,76262.07346,86262.07346
170.2769172,76244.30394,86244.30394
180.4186409,76245.144,86245.144
191.1644075,76216.00147,86216.00147
202.5501939,76198.34889,86198.34889
214.6141198,76164.44278,86164.44278
227.3965752,76146.95716,86146.95716
240.940356,76104.46145,86104.46145
255.2908068,76139.169,86139.169
270.495973,76095.11398,86095.11398
286.6067617,76081.44746,86081.44746
303.6771118,76077.06505,86077.06505
321.764175,76050.83554,86050.83554
340.928507,76043.63443,86043.63443
361.23427,76037.78164,86037.78164
382.7494479,76038.94817,86038.94817
405.5460736,75987.1867,85987.1867
429.7004704,75955.56087,85955.56087
455.2935075,75942.11746,85942.11746
482.4108704,75938.99569,85938.99569
511.1433483,75890.32259,85890.32259
541.5871378,75828.28527,85828.28527
573.8441648,75754.11225,85754.11225
608.0224262,75742.4861,85742.4861
644.2363509,75666.10435,85666.10435
682.6071834,75638.14567,85638.14567
723.2633896,75545.92982,85545.92982
766.3410868,75515.63965,85515.63965
811.9844993,75384.28063,85384.28063
860.3464417,75353.48045,85353.48045
911.58883,75250.72627,85250.72627
965.8832241,75098.65195,85098.65195
1023.411402,75011.69117,85011.69117
1084.365969,74905.23268,84905.23268
1148.951,74753.08336,84753.08336
1217.382728,74581.53622,84581.53622
1289.890261,74398.91907,84398.91907
1366.716356,74202.6402,84202.6402
1448.118228,73996.50079,83996.50079
1534.368409,73775.76562,83775.76562
1625.755666,73505.2414,83505.2414
1722.585965,73260.96434,83260.96434
1825.183494,72961.22333,82961.22333
1933.89175,72677.68862,82677.68862
2049.07469,72360.30974,82360.30974
2171.117946,71983.70408,81983.70408
2300.43012,71629.68234,81629.68234
2437.44415,71211.57554,81211.57554
2582.618761,70786.37629,80786.37629
2736.439997,70365.51784,80365.51784
2899.422854,69937.14334,79937.14334
3072.112999,69479.94005,79479.94005
3255.0886,69023.7974,79023.7974
3448.96226,68507.36951,78507.36951
3654.383071,68011.11251,78011.11251
3872.038782,67506.17346,77506.17346
4102.658106,67012.72518,77012.72518
4347.013158,66492.4386,76492.4386
4605.922041,66017.24191,76017.24191
4880.251584,65484.86216,75484.86216
5170.920243,64988.28132,74988.28132
5478.90118,64461.92866,74461.92866
5805.225516,63973.33244,73973.33244
6150.985789,63498.3486,73498.3486
6517.339605,63000.28323,73000.28323
6905.51352,62520.89727,72520.89727
7316.807143,62093.39277,72093.39277
7752.597489,61603.93486,71603.93486
8214.343585,61148.42946,71148.42946
8703.591361,60661.20561,70661.20561
9221.978823,60207.57418,70207.57418
9771.241535,59727.87954,69727.87954
10353.21843,59255.08947,69255.08947
10969.85798,58755.52708,68755.52708
11623.22469,58250.46966,68250.46966
12315.50603,57724.16522,67724.16522
13049.01978,57176.50464,67176.50464
13826.22174,56561.64758,66561.64758
14649.71398,55987.66488,65987.66488
15522.25357,55324.99714,65324.99714
16446.76178,54637.57335,64637.57335
17426.33386,53930.34526,63930.34526
18464.24943,53147.18553,63147.18553
19563.98344,52353.88504,62353.88504
20729.2178,51495.92896,61495.92896
21963.85372,50587.98329,60587.98329
23272.02479,49635.87026,59635.87026
24658.11076,48626.10464,58626.10464
26126.75226,47606.78943,57606.78943
27682.8663,46497.48825,56497.48825
29331.66278,45352.58593,55352.58593
31078.66188,44197.89903,54197.89903
32929.71255,42961.80717,52961.80717
34891.01213,41701.2508,51701.2508
36969.12707,40434.46372,50434.46372
39171.01491,39154.63806,49154.63806
41504.04758,37819.08454,47819.08454
43976.03609,36512.30581,46512.30581
46595.25669,35174.42979,45174.42979
49370.47853,33804.72817,43804.72817
52310.99308,32494.23411,42494.23411
55426.64521,31198.69412,41198.69412
58727.86613,29888.39542,39888.39542
62225.70837,28630.23891,38630.23891
65931.88271,27362.68303,37362.68303
69858.79747,26158.12955,36158.12955
74019.59997,24974.60867,34974.60867
78428.22061,23834.09419,33834.09419
83099.41949,22714.92353,32714.92353
88048.83582,21642.77854,31642.77854
93293.04026,20609.84893,30609.84893
98849.59047,19618.85829,29618.85829
104737.0898,18662.00426,28662.00426
110975.2496,17753.51729,27753.51729
117584.9554,16884.83389,26884.83389
124588.3364,16058.72114,26058.72114
132008.8401,15266.95425,25266.95425
139871.3103,14518.14539,24518.14539
148202.0706,13808.89378,23808.89378
157029.0125,13128.16039,23128.16039
166381.6886,12491.97541,22491.97541
176291.4118,11887.54763,21887.54763
186791.3599,11318.17012,21318.17012
197916.6868,10776.74025,20776.74025
209704.6401,10267.55015,20267.55015
222194.6861,9787.201492,19787.20149
235428.6414,9335.673463,19335.67346
249450.8135,8908.218869,18908.21887
264308.1487,8504.925873,18504.92587
