#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-09-20 13:51:35.244
#Trace: Trace
#Start: 10.0646 Hz
#Stop: 1e+06 Hz
#Steps: 200
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Attenuation: 1 X

Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
10.06460000000003,-16.10229492372053,925.9990792809795
10.66370431962025,-16.97721506910569,921.185860953006
11.29847085987395,-17.90854197954062,915.5160491165042
11.97102244635069,-18.86575421955509,910.1041108597375
12.68360826773251,-19.8789954840804,903.2958283308717
13.43861139767005,-20.94724026555345,896.4420886466668
14.23855676440512,-22.03039664229187,888.8634595102419
15.08611959479211,-23.15343772349492,879.9532862812371
15.98413436095739,-24.34760845963775,871.8033725809761
16.93560425951666,-25.55610953079612,861.8071635373828
17.94371125505106,-26.8269749482213,851.2754424982213
19.01182672143018,-28.12617156975326,839.872589843348
20.14352271656959,-29.45137797774051,827.7140720312026
21.34258392832809,-30.80030525874616,814.6314280812983
22.61302033149549,-32.21667932466237,800.5918063559183
23.95908059819849,-33.64227897624976,786.3474261536139
25.38526630657338,-35.08957945296495,770.7431677073358
26.8963469952225,-36.55651545210245,754.458344109416
28.49737611380072,-38.03061997127548,737.3699058205486
30.19370792307485,-39.51718688226541,719.713767189792
31.99101540097418,-41.02678240124548,701.2739045477811
33.8953092145148,-42.5157816758861,682.2336286667615
35.91295782104454,-44.0074328182565,662.8245665676544
38.0507087660326,-45.47971597219954,642.7736892353422
40.31571124862917,-46.93494825931261,622.6380011968446
42.7155400304601,-48.46726605873335,600.0878799630329
45.25822076761403,-49.75539725502473,575.8739615335792
47.95225685053869,-50.98474194829161,554.385059676776
50.80665784160593,-52.37983324933668,533.7931352549832
53.83096960544882,-53.81676673971284,513.6012666750331
57.035306232833,-54.90428044864507,501.2910655319111
60.43038386482561,-56.34717739055328,476.8116523587752
64.0275565303787,-57.32833887846253,457.7653877065492
67.83885411717567,-58.44810202998463,438.0088611694396
71.87702260272766,-59.45349387517487,418.8598538298217
76.15556668026031,-60.37740870723628,400.0647656734411
80.68879492194604,-61.21760684181407,381.7901336890674
85.49186763051753,-61.95065193173536,364.1561537103985
90.58084753929124,-62.5299668792087,347.1020579128584
95.97275353015533,-62.88326224171111,330.6459329662437
101.6856175491689,-63.01635079548197,315.328001973463
107.7385449101129,-62.89053828475762,300.5706029661366
114.1517781876646,-62.52143372641878,287.2147135056061
120.9467649138692,-61.96883802074898,274.6195669671227
128.1462293043064,-61.23793544094163,262.9847341675772
135.7742482538179,-60.36329812174336,252.3018926466752
143.8563318559532,-59.36637825848418,242.3456594806393
152.4195087154034,-58.26382880525711,233.1621035983756
161.4924163387357,-57.06750543608127,224.672102325275
171.1053969057177,-55.79079858834545,216.7842979610846
181.2905987415132,-54.45546506878428,209.5151569808954
192.0820838291051,-53.05491124917464,202.8072959931307
203.5159417214877,-51.61602069065249,196.5795442805502
215.6304102345848,-50.13404250506042,190.8486782747154
228.4660033245265,-48.62851859105682,185.5548214243616
242.0656465769251,-47.09611986566056,180.6673967740335
256.4748207612841,-45.57296558810216,176.1583762120484
271.7417139306012,-44.00703690990138,172.0142985957243
287.9173825748419,-42.46424018561321,168.2141014371057
305.0559223672172,-40.94234722643056,164.7247853480408
323.2146490742825,-39.39976827386044,161.4755992198701
342.4542902348791,-37.85424047904835,158.5112876598036
362.8391882489282,-36.38442432859142,155.9237011947297
384.4375155552715,-34.91353937989341,153.3353085465623
407.3215026181692,-33.48098910196953,151.144841549834
431.5676794848845,-32.05532132938036,149.0759588436374
457.2571317222186,-30.69739308488539,147.1700932613842
484.4757715878802,-29.3469258893343,145.4098012604153
513.3146253435821,-28.03917979977541,143.7568761650329
543.8701376707073,-26.79013835801613,142.4094432116663
576.2444942065819,-25.51973931659639,141.0232466453867
610.5459632800213,-24.37516991227223,139.896606265965
646.8892579889774,-23.23291243191366,138.8177137476898
685.3959198311882,-22.11739622874464,137.7412543147175
726.1947251707896,-21.05010340385848,136.9107392923166
769.4221159002013,-19.99677713573155,136.0979715192613
815.2226557375666,-19.00774010685586,135.3453301794673
863.7495136856869,-18.05047404472222,134.6419246944335
915.1649762692925,-17.13151217467602,134.0320260899815
969.6409902636974,-16.26110865285451,133.4851119816946
1027.359737729847,-15.41228549223416,132.9772288670205
1088.514245278867,-14.59471284066067,132.5637044941088
1153.309029603601,-13.8185883920001,132.1615439304695
1221.960781436016,-13.08519079841884,131.783409266079
1294.69909021777,-12.35935640602605,131.4903999339712
1371.767211907438,-11.69293290320428,131.1846726004196
1453.422882492175,-11.04423345507753,130.9693134383579
1539.939179924357,-10.42720579613565,130.7455239446429
1631.605437365797,-9.84266799479513,130.5370364592681
1728.728210793626,-9.275049240018726,130.3919176110871
1831.632304203773,-8.727463588202449,130.2658940973884
1940.661855840645,-8.227650490871932,130.1492349404567
2056.181489085517,-7.738144602599377,130.0405651293958
2178.57753185267,-7.262321257665136,129.9686447903249
2308.25930857112,-6.819059293648526,129.9243692804415
2445.660509072733,-6.398517238616555,129.8597225852989
2591.240638964639,-5.998688427848267,129.8641322060099
2745.486556336337,-5.619936732602246,129.8317494455538
2908.91409994069,-5.257907921891626,129.8196028954353
3082.069814293838,-4.921738775263253,129.8904603828771
3265.532777463212,-4.595943135180169,129.8918974825107
3459.916537656334,-4.297815399795823,129.9686080470719
3665.871165086672,-4.005914161015633,130.011770308567
3884.085425978775,-3.736381675703311,130.1012888104463
4115.289085982934,-3.474603927275631,130.0892687466302
4360.255350702676,-3.243204273008423,130.2234597887139
4619.803451496865,-3.017008180024484,130.2692615934093
4894.801385203938,-2.813233787978068,130.3490768215674
5186.168816950731,-2.624891698473008,130.4403926719232
5494.880155753562,-2.427088352116554,130.5222100983823
5821.967813197207,-2.275879801945454,130.6390756950875
6168.525656089765,-2.1158268214127,130.7214728119274
6535.712664639692,-1.955749793340806,130.8178414411991
6924.756808389297,-1.823787006946928,130.8823844284431
7336.959152866535,-1.702345108805814,130.9928898214078
7773.698210688946,-1.573017397941486,130.9812541669008
8236.434551670982,-1.477810096622946,131.097639189077
8726.71568735202,-1.357318263816779,131.2447727885701
9246.181246280366,-1.272732461010526,131.2079855819999
9796.568457360609,-1.195220732165751,131.2697366045094
10379.71795960211,-1.098434056605899,131.3948548204027
10997.57995769814,-1.015658080566305,131.4122569416096
11652.22074402108,-0.9448871710128725,131.4349459695944
12345.82960884547,-0.8791227730346133,131.5498023659092
13080.72616190815,-0.8220601140839969,131.5546757834522
13859.36808979088,-0.739895835817144,131.5900165220932
14684.35937506802,-0.6980873777053437,131.549038162097
15558.45900470646,-0.6331510707809913,131.6090516565381
16484.59019684067,-0.6014234040911832,131.6479208711733
17465.85017677991,-0.5456126473585102,131.6288349030627
18505.52053494106,-0.4510674303655795,131.7342662783154
19607.07820134645,-0.4205211718179239,131.6279162576241
20774.2070733889,-0.4011036842065201,131.6638333161658
22010.81033574929,-0.3380690163546188,131.7997869997518
23321.02351366883,-0.325267471669925,131.8153926637231
24709.22830322868,-0.260964236832843,131.7225603544255
26180.06722488939,-0.2225159446196344,131.7417404955373
27738.45914929565,-0.1874946767773384,131.784587702323
29389.61574726798,-0.1540078833675066,131.7771335049409
31139.05891899531,-0.1207407576184256,131.8256122315735
32992.6392607157,-0.08235966983243485,131.8309168321446
34956.55563064262,-0.0007475123770431432,131.7637022123577
37037.37587957083,-0.004582764525402851,131.8680336460314
39242.05881548968,0.05901752395255907,131.8801146528011
41577.9774756601,0.04656512859214847,131.7552344789211
44052.94378398239,0.1167847290728473,131.7652620782357
46675.23467611626,0.2987984398547184,131.7375054637423
49453.61977972188,0.1842603512951661,131.8138377220636
52397.39074239181,0.2678119962071493,131.7435103318628
55516.39230535468,0.270839491775611,131.8418499891217
