Frequency (Hz),Trace th (*),Trace |Z| (Ohm),corregida
10.0646,-16.10229492,925.9990793,825.9990793
10.66370432,-16.97721507,921.185861,821.185861
11.29847086,-17.90854198,915.5160491,815.5160491
11.97102245,-18.86575422,910.1041109,810.1041109
12.68360827,-19.87899548,903.2958283,803.2958283
13.4386114,-20.94724027,896.4420886,796.4420886
14.23855676,-22.03039664,888.8634595,788.8634595
15.08611959,-23.15343772,879.9532863,779.9532863
15.98413436,-24.34760846,871.8033726,771.8033726
16.93560426,-25.55610953,861.8071635,761.8071635
17.94371126,-26.82697495,851.2754425,751.2754425
19.01182672,-28.12617157,839.8725898,739.8725898
20.14352272,-29.45137798,827.714072,727.714072
21.34258393,-30.80030526,814.6314281,714.6314281
22.61302033,-32.21667932,800.5918064,700.5918064
23.9590806,-33.64227898,786.3474262,686.3474262
25.38526631,-35.08957945,770.7431677,670.7431677
26.896347,-36.55651545,754.4583441,654.4583441
28.49737611,-38.03061997,737.3699058,637.3699058
30.19370792,-39.51718688,719.7137672,619.7137672
31.9910154,-41.0267824,701.2739045,601.2739045
33.89530921,-42.51578168,682.2336287,582.2336287
35.91295782,-44.00743282,662.8245666,562.8245666
38.05070877,-45.47971597,642.7736892,542.7736892
40.31571125,-46.93494826,622.6380012,522.6380012
42.71554003,-48.46726606,600.08788,500.08788
45.25822077,-49.75539726,575.8739615,475.8739615
47.95225685,-50.98474195,554.3850597,454.3850597
50.80665784,-52.37983325,533.7931353,433.7931353
53.83096961,-53.81676674,513.6012667,413.6012667
57.03530623,-54.90428045,501.2910655,401.2910655
60.43038386,-56.34717739,476.8116524,376.8116524
64.02755653,-57.32833888,457.7653877,357.7653877
67.83885412,-58.44810203,438.0088612,338.0088612
71.8770226,-59.45349388,418.8598538,318.8598538
76.15556668,-60.37740871,400.0647657,300.0647657
80.68879492,-61.21760684,381.7901337,281.7901337
85.49186763,-61.95065193,364.1561537,264.1561537
90.58084754,-62.52996688,347.1020579,247.1020579
95.97275353,-62.88326224,330.645933,230.645933
101.6856175,-63.0163508,315.328002,215.328002
107.7385449,-62.89053828,300.570603,200.570603
114.1517782,-62.52143373,287.2147135,187.2147135
120.9467649,-61.96883802,274.619567,174.619567
128.1462293,-61.23793544,262.9847342,162.9847342
135.7742483,-60.36329812,252.3018926,152.3018926
