Freq.	V(n007)
1.00000000000000e+000	(-3.82589941238886e+001dB,1.50184222835712e+002°)
1.00230523807790e+000	(-3.82234565037782e+001dB,1.50125417374012e+002°)
1.00461579027840e+000	(-3.81879349060063e+001dB,1.50066532697907e+002°)
1.00693166885180e+000	(-3.81524293716465e+001dB,1.50007568898953e+002°)
1.00925288607668e+000	(-3.81169399418508e+001dB,1.49948526069936e+002°)
1.01157945425990e+000	(-3.80814666576374e+001dB,1.49889404304622e+002°)
1.01391138573668e+000	(-3.80460095600807e+001dB,1.49830203697992e+002°)
1.01624869287070e+000	(-3.80105686902169e+001dB,1.49770924346142e+002°)
1.01859138805412e+000	(-3.79751440890834e+001dB,1.49711566346309e+002°)
1.02093948370768e+000	(-3.79397357977035e+001dB,1.49652129796881e+002°)
1.02329299228075e+000	(-3.79043438570403e+001dB,1.49592614797321e+002°)
1.02565192625141e+000	(-3.78689683080864e+001dB,1.49533021448299e+002°)
1.02801629812647e+000	(-3.78336091917960e+001dB,1.49473349851597e+002°)
1.03038612044162e+000	(-3.77982665490969e+001dB,1.49413600110138e+002°)
1.03276140576140e+000	(-3.77629404209034e+001dB,1.49353772328003e+002°)
1.03514216667934e+000	(-3.77276308481074e+001dB,1.49293866610404e+002°)
1.03752841581801e+000	(-3.76923378715720e+001dB,1.49233883063713e+002°)
1.03992016582906e+000	(-3.76570615321553e+001dB,1.49173821795466e+002°)
1.04231742939330e+000	(-3.76218018706454e+001dB,1.49113682914284e+002°)
1.04472021922080e+000	(-3.75865589278522e+001dB,1.49053466530020e+002°)
1.04712854805090e+000	(-3.75513327445406e+001dB,1.48993172753642e+002°)
1.04954242865232e+000	(-3.75161233614268e+001dB,1.48932801697263e+002°)
1.05196187382322e+000	(-3.74809308192266e+001dB,1.48872353474168e+002°)
1.05438689639126e+000	(-3.74457551586185e+001dB,1.48811828198814e+002°)
1.05681750921366e+000	(-3.74105964202309e+001dB,1.48751225986768e+002°)
1.05925372517729e+000	(-3.73754546446944e+001dB,1.48690546954815e+002°)
1.06169555719872e+000	(-3.73403298725645e+001dB,1.48629791220852e+002°)
