Freq.	I(R6)/I(R3)
1.00000000000000e+000	(6.87001846052873e+000dB,8.82809230720645e+001°)
1.00230523807790e+000	(6.89000042329938e+000dB,8.82769625759439e+001°)
1.00461579027840e+000	(6.90998230287642e+000dB,8.82729929664601e+001°)
1.00693166885180e+000	(6.92996409890132e+000dB,8.82690142227190e+001°)
1.00925288607668e+000	(6.94994581096466e+000dB,8.82650263237791e+001°)
1.01157945425990e+000	(6.96992743869755e+000dB,8.82610292486518e+001°)
1.01391138573668e+000	(6.98990898171809e+000dB,8.82570229763003e+001°)
1.01624869287070e+000	(7.00989043960926e+000dB,8.82530074856405e+001°)
1.01859138805412e+000	(7.02987181200621e+000dB,8.82489827555402e+001°)
1.02093948370768e+000	(7.04985309848546e+000dB,8.82449487648200e+001°)
1.02329299228075e+000	(7.06983429868708e+000dB,8.82409054922515e+001°)
1.02565192625141e+000	(7.08981541217497e+000dB,8.82368529165590e+001°)
1.02801629812647e+000	(7.10979643858851e+000dB,8.82327910164181e+001°)
1.03038612044162e+000	(7.12977737748086e+000dB,8.82287197704567e+001°)
1.03276140576140e+000	(7.14975822850657e+000dB,8.82246391572535e+001°)
1.03514216667934e+000	(7.16973899122130e+000dB,8.82205491553391e+001°)
1.03752841581801e+000	(7.18971966521775e+000dB,8.82164497431953e+001°)
1.03992016582906e+000	(7.20970025009259e+000dB,8.82123408992555e+001°)
1.04231742939330e+000	(7.22968074544213e+000dB,8.82082226019039e+001°)
1.04472021922080e+000	(7.24966115086078e+000dB,8.82040948294759e+001°)
1.04712854805090e+000	(7.26964146591954e+000dB,8.81999575602578e+001°)
1.04954242865232e+000	(7.28962169019873e+000dB,8.81958107724866e+001°)
1.05196187382322e+000	(7.30960182329301e+000dB,8.81916544443505e+001°)
1.05438689639126e+000	(7.32958186476839e+000dB,8.81874885539879e+001°)
1.05681750921366e+000	(7.34956181422259e+000dB,8.81833130794874e+001°)
1.05925372517729e+000	(7.36954167122432e+000dB,8.81791279988890e+001°)
1.06169555719872e+000	(7.38952143535371e+000dB,8.81749332901819e+001°)
1.06414301822431e+000	(7.40950110615142e+000dB,8.81707289313062e+001°)
