Freq.	V(n007)/V(n002)
1.00000000000000e+000	(-3.82556112999644e+001dB,1.50184864394869e+002°)
1.00230523807790e+000	(-3.82200737833620e+001dB,1.50126060852694e+002°)
1.00461579027840e+000	(-3.81845522893323e+001dB,1.50067178102696e+002°)
1.00693166885180e+000	(-3.81490468589496e+001dB,1.50008216236453e+002°)
1.00925288607668e+000	(-3.81135575333210e+001dB,1.49949175346720e+002°)
1.01157945425990e+000	(-3.80780843535025e+001dB,1.49890055527329e+002°)
1.01391138573668e+000	(-3.80426273605456e+001dB,1.49830856873262e+002°)
1.01624869287070e+000	(-3.80071865955176e+001dB,1.49771579480668e+002°)
1.01859138805412e+000	(-3.79717620994201e+001dB,1.49712223446777e+002°)
1.02093948370768e+000	(-3.79363539132915e+001dB,1.49652788869999e+002°)
1.02329299228075e+000	(-3.79009620780909e+001dB,1.49593275849827e+002°)
1.02565192625141e+000	(-3.78655866348270e+001dB,1.49533684486975e+002°)
1.02801629812647e+000	(-3.78302276244189e+001dB,1.49474014883202e+002°)
1.03038612044162e+000	(-3.77948850878411e+001dB,1.49414267141517e+002°)
1.03276140576140e+000	(-3.77595590659530e+001dB,1.49354441365949e+002°)
1.03514216667934e+000	(-3.77242495996797e+001dB,1.49294537661783e+002°)
1.03752841581801e+000	(-3.76889567298873e+001dB,1.49234556135410e+002°)
1.03992016582906e+000	(-3.76536804974120e+001dB,1.49174496894363e+002°)
1.04231742939330e+000	(-3.76184209430633e+001dB,1.49114360047321e+002°)
1.04472021922080e+000	(-3.75831781076238e+001dB,1.49054145704123e+002°)
1.04712854805090e+000	(-3.75479520318690e+001dB,1.48993853975770e+002°)
1.04954242865232e+000	(-3.75127427565343e+001dB,1.48933484974427e+002°)
1.05196187382322e+000	(-3.74775503223123e+001dB,1.48873038813376e+002°)
1.05438689639126e+000	(-3.74423747698883e+001dB,1.48812515607101e+002°)
1.05681750921366e+000	(-3.74072161398871e+001dB,1.48751915471192e+002°)
1.05925372517729e+000	(-3.73720744729241e+001dB,1.48691238522438e+002°)
1.06169555719872e+000	(-3.73369498095694e+001dB,1.48630484878780e+002°)
1.06414301822431e+000	(-3.73018421903930e+001dB,1.48569654659350e+002°)
1.06659612123026e+000	(-3.72667516558795e+001dB,1.48508747984394e+002°)
1.06905487922266e+000	(-3.72316782464943e+001dB,1.48447764975331e+002°)
1.07151930523761e+000	(-3.71966220026682e+001dB,1.48386705754757e+002°)
1.07398941234124e+000	(-3.71615829648041e+001dB,1.48325570446439e+002°)
1.07646521362983e+000	(-3.71265611732526e+001dB,1.48264359175303e+002°)
1.07894672222983e+000	(-3.70915566683209e+001dB,1.48203072067430e+002°)
1.08143395129794e+000	(-3.70565694902808e+001dB,1.48141709250098e+002°)
1.08392691402120e+000	(-3.70215996793747e+001dB,1.48080270851744e+002°)
1.08642562361706e+000	(-3.69866472757803e+001dB,1.48018757001962e+002°)
1.08893009333343e+000	(-3.69517123196184e+001dB,1.47957167831501e+002°)
1.09144033644876e+000	(-3.69167948510157e+001dB,1.47895503472336e+002°)
1.09395636627209e+000	(-3.68818949099831e+001dB,1.47833764057558e+002°)
1.09647819614318e+000	(-3.68470125365416e+001dB,1.47771949721457e+002°)
1.09900583943252e+000	(-3.68121477706401e+001dB,1.47710060599504e+002°)
1.10153930954141e+000	(-3.67773006521869e+001dB,1.47648096828331e+002°)
1.10407861990207e+000	(-3.67424712210107e+001dB,1.47586058545730e+002°)
1.10662378397766e+000	(-3.67076595169013e+001dB,1.47523945890661e+002°)
1.10917481526240e+000	(-3.66728655796358e+001dB,1.47461759003333e+002°)
1.11173172728159e+000	(-3.66380894488839e+001dB,1.47399498025040e+002°)
1.11429453359173e+000	(-3.66033311642654e+001dB,1.47337163098267e+002°)
1.11686324778056e+000	(-3.65685907653914e+001dB,1.47274754366740e+002°)
1.11943788346715e+000	(-3.65338682917438e+001dB,1.47212271975260e+002°)
1.12201845430196e+000	(-3.64991637828044e+001dB,1.47149716069888e+002°)
1.12460497396692e+000	(-3.64644772779712e+001dB,1.47087086797810e+002°)
1.12719745617551e+000	(-3.64298088165815e+001dB,1.47024384307412e+002°)
1.12979591467280e+000	(-3.63951584379041e+001dB,1.46961608748229e+002°)
